release_reference_id,release_reference_type,latitude (degrees_north),longitude (degrees_east),time (UTC),expected_enddate (UTC),manufacturer,tag_model,tag_serial_number,tag_coding_system,transmitted_id,transmittername,release_project_reference,tag_device_id,datacenter_reference
WRS-37256,ANIMAL,45.27966,-62.40404,2010-05-08T18:00:00Z,2010-10-12T18:00:00Z,VEMCO,V9-1L,1092556,A69-1303,37256,A69-1303-37256,WRS,A69-1303-37256,OTN-Global
WRS-37053,ANIMAL,45.27966,-62.40404,2010-05-05T18:00:00Z,2010-10-09T18:00:00Z,VEMCO,V9-1L,1092313,A69-1303,37053,A69-1303-37053,WRS,A69-1303-37053,OTN-Global
WRS-37052,ANIMAL,45.27966,-62.40404,2010-05-05T18:00:00Z,2010-10-09T18:00:00Z,VEMCO,V9-1L,1092312,A69-1303,37052,A69-1303-37052,WRS,A69-1303-37052,OTN-Global
WRS-37051,ANIMAL,45.27966,-62.40404,2010-05-05T18:00:00Z,2010-10-09T18:00:00Z,VEMCO,V9-1L,1092311,A69-1303,37051,A69-1303-37051,WRS,A69-1303-37051,OTN-Global
WRS-37050,ANIMAL,45.27966,-62.40404,2010-05-07T18:00:00Z,2010-10-11T18:00:00Z,VEMCO,V9-1L,1092310,A69-1303,37050,A69-1303-37050,WRS,A69-1303-37050,OTN-Global
WRS-37049,ANIMAL,45.27966,-62.40404,2010-05-08T18:00:00Z,2010-10-12T18:00:00Z,VEMCO,V9-1L,1092309,A69-1303,37049,A69-1303-37049,WRS,A69-1303-37049,OTN-Global
WRS-37048,ANIMAL,45.27966,-62.40404,2010-05-10T18:00:00Z,2010-10-14T18:00:00Z,VEMCO,V9-1L,1092308,A69-1303,37048,A69-1303-37048,WRS,A69-1303-37048,OTN-Global
WRS-37047,ANIMAL,45.27966,-62.40404,2010-05-08T18:00:00Z,2010-10-12T18:00:00Z,VEMCO,V9-1L,1092307,A69-1303,37047,A69-1303-37047,WRS,A69-1303-37047,OTN-Global
WRS-37046,ANIMAL,45.27966,-62.40404,2010-05-08T18:00:00Z,2010-10-12T18:00:00Z,VEMCO,V9-1L,1092306,A69-1303,37046,A69-1303-37046,WRS,A69-1303-37046,OTN-Global
WRS-37045,ANIMAL,45.20477,-62.00862,2010-05-13T18:00:00Z,2010-10-17T18:00:00Z,VEMCO,V9-1L,1092305,A69-1303,37045,A69-1303-37045,WRS,A69-1303-37045,OTN-Global
WRS-37039,ANIMAL,45.27966,-62.40404,2010-05-10T18:00:00Z,2010-10-14T18:00:00Z,VEMCO,V9-1L,1092299,A69-1303,37039,A69-1303-37039,WRS,A69-1303-37039,OTN-Global
WRS-36912,ANIMAL,45.27966,-62.40404,2010-05-05T18:00:00Z,2010-10-09T18:00:00Z,VEMCO,V9-1L,1092154,A69-1303,36912,A69-1303-36912,WRS,A69-1303-36912,OTN-Global
WRS-36911,ANIMAL,45.27966,-62.40404,2010-05-05T18:00:00Z,2010-10-09T18:00:00Z,VEMCO,V9-1L,1092153,A69-1303,36911,A69-1303-36911,WRS,A69-1303-36911,OTN-Global
WRS-36910,ANIMAL,45.27966,-62.40404,2010-05-05T18:00:00Z,2010-10-09T18:00:00Z,VEMCO,V9-1L,1092152,A69-1303,36910,A69-1303-36910,WRS,A69-1303-36910,OTN-Global
WRS-36909,ANIMAL,45.27966,-62.40404,2010-05-05T18:00:00Z,2010-10-09T18:00:00Z,VEMCO,V9-1L,1092151,A69-1303,36909,A69-1303-36909,WRS,A69-1303-36909,OTN-Global
WRS-36908,ANIMAL,45.20477,-62.00862,2010-05-14T18:00:00Z,2010-10-18T18:00:00Z,VEMCO,V9-1L,1092150,A69-1303,36908,A69-1303-36908,WRS,A69-1303-36908,OTN-Global
WRS-36907,ANIMAL,45.20477,-62.00862,2010-05-13T18:00:00Z,2010-10-17T18:00:00Z,VEMCO,V9-1L,1092149,A69-1303,36907,A69-1303-36907,WRS,A69-1303-36907,OTN-Global
WRS-36906,ANIMAL,45.20477,-62.00862,2010-05-13T18:00:00Z,2010-10-17T18:00:00Z,VEMCO,V9-1L,1092148,A69-1303,36906,A69-1303-36906,WRS,A69-1303-36906,OTN-Global
WRS-36905,ANIMAL,45.20477,-62.00862,2010-05-13T18:00:00Z,2010-10-17T18:00:00Z,VEMCO,V9-1L,1092147,A69-1303,36905,A69-1303-36905,WRS,A69-1303-36905,OTN-Global
WRS-36904,ANIMAL,45.20477,-62.00862,2010-05-13T18:00:00Z,2010-10-17T18:00:00Z,VEMCO,V9-1L,1092146,A69-1303,36904,A69-1303-36904,WRS,A69-1303-36904,OTN-Global
WRS-36903,ANIMAL,45.20477,-62.00862,2010-05-13T18:00:00Z,2010-10-17T18:00:00Z,VEMCO,V9-1L,1092145,A69-1303,36903,A69-1303-36903,WRS,A69-1303-36903,OTN-Global
WRS-36902,ANIMAL,45.20477,-62.00862,2010-05-13T18:00:00Z,2010-10-17T18:00:00Z,VEMCO,V9-1L,1092144,A69-1303,36902,A69-1303-36902,WRS,A69-1303-36902,OTN-Global
WRS-36901,ANIMAL,45.20477,-62.00862,2010-05-13T18:00:00Z,2010-10-17T18:00:00Z,VEMCO,V9-1L,1092143,A69-1303,36901,A69-1303-36901,WRS,A69-1303-36901,OTN-Global
WRS-36900,ANIMAL,45.20477,-62.00862,2010-05-14T18:00:00Z,2010-10-18T18:00:00Z,VEMCO,V9-1L,1092142,A69-1303,36900,A69-1303-36900,WRS,A69-1303-36900,OTN-Global
WRS-36899,ANIMAL,45.20477,-62.00862,2010-05-14T18:00:00Z,2010-10-18T18:00:00Z,VEMCO,V9-1L,1092141,A69-1303,36899,A69-1303-36899,WRS,A69-1303-36899,OTN-Global
WRS-36898,ANIMAL,45.20477,-62.00862,2010-05-14T18:00:00Z,2010-10-18T18:00:00Z,VEMCO,V9-1L,1092140,A69-1303,36898,A69-1303-36898,WRS,A69-1303-36898,OTN-Global
WRS-36897,ANIMAL,45.20477,-62.00862,2010-05-14T18:00:00Z,2010-10-18T18:00:00Z,VEMCO,V9-1L,1092139,A69-1303,36897,A69-1303-36897,WRS,A69-1303-36897,OTN-Global
WRS-36896,ANIMAL,45.20477,-62.00862,2010-05-14T18:00:00Z,2010-10-18T18:00:00Z,VEMCO,V9-1L,1092138,A69-1303,36896,A69-1303-36896,WRS,A69-1303-36896,OTN-Global
WRS-36895,ANIMAL,44.95369,-62.61061,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1092137,A69-1303,36895,A69-1303-36895,WRS,A69-1303-36895,OTN-Global
WRS-36894,ANIMAL,44.95369,-62.61061,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1092136,A69-1303,36894,A69-1303-36894,WRS,A69-1303-36894,OTN-Global
WRS-36893,ANIMAL,44.95369,-62.61061,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1092135,A69-1303,36893,A69-1303-36893,WRS,A69-1303-36893,OTN-Global
WRS-36892,ANIMAL,44.95369,-62.61061,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1092134,A69-1303,36892,A69-1303-36892,WRS,A69-1303-36892,OTN-Global
WRS-36891,ANIMAL,44.95369,-62.61061,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1092133,A69-1303,36891,A69-1303-36891,WRS,A69-1303-36891,OTN-Global
WRS-36890,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092132,A69-1303,36890,A69-1303-36890,WRS,A69-1303-36890,OTN-Global
WRS-36889,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092131,A69-1303,36889,A69-1303-36889,WRS,A69-1303-36889,OTN-Global
WRS-36888,ANIMAL,44.95369,-62.61061,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1092130,A69-1303,36888,A69-1303-36888,WRS,A69-1303-36888,OTN-Global
WRS-36887,ANIMAL,44.95369,-62.61061,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1092129,A69-1303,36887,A69-1303-36887,WRS,A69-1303-36887,OTN-Global
WRS-36886,ANIMAL,44.95369,-62.61061,2010-04-22T18:00:00Z,2010-09-26T18:00:00Z,VEMCO,V9-1L,1092128,A69-1303,36886,A69-1303-36886,WRS,A69-1303-36886,OTN-Global
WRS-36885,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092127,A69-1303,36885,A69-1303-36885,WRS,A69-1303-36885,OTN-Global
WRS-36884,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092126,A69-1303,36884,A69-1303-36884,WRS,A69-1303-36884,OTN-Global
WRS-36883,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092125,A69-1303,36883,A69-1303-36883,WRS,A69-1303-36883,OTN-Global
WRS-36882,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092124,A69-1303,36882,A69-1303-36882,WRS,A69-1303-36882,OTN-Global
WRS-36881,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092123,A69-1303,36881,A69-1303-36881,WRS,A69-1303-36881,OTN-Global
WRS-36880,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092122,A69-1303,36880,A69-1303-36880,WRS,A69-1303-36880,OTN-Global
WRS-36879,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092121,A69-1303,36879,A69-1303-36879,WRS,A69-1303-36879,OTN-Global
WRS-36878,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092120,A69-1303,36878,A69-1303-36878,WRS,A69-1303-36878,OTN-Global
WRS-36877,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092119,A69-1303,36877,A69-1303-36877,WRS,A69-1303-36877,OTN-Global
WRS-36876,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092118,A69-1303,36876,A69-1303-36876,WRS,A69-1303-36876,OTN-Global
WRS-36875,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092117,A69-1303,36875,A69-1303-36875,WRS,A69-1303-36875,OTN-Global
WRS-36874,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092116,A69-1303,36874,A69-1303-36874,WRS,A69-1303-36874,OTN-Global
WRS-36873,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092115,A69-1303,36873,A69-1303-36873,WRS,A69-1303-36873,OTN-Global
WRS-36872,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092114,A69-1303,36872,A69-1303-36872,WRS,A69-1303-36872,OTN-Global
WRS-36871,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092113,A69-1303,36871,A69-1303-36871,WRS,A69-1303-36871,OTN-Global
WRS-36870,ANIMAL,44.95369,-62.61061,2010-04-26T18:00:00Z,2010-09-30T18:00:00Z,VEMCO,V9-1L,1092112,A69-1303,36870,A69-1303-36870,WRS,A69-1303-36870,OTN-Global
