release_reference_id,release_reference_type,latitude (degrees_north),longitude (degrees_east),time (UTC),expected_enddate (UTC),manufacturer,tag_model,tag_serial_number,tag_coding_system,transmitted_id,transmittername,release_project_reference,tag_device_id,datacenter_reference
MACFL-15610,ANIMAL,38.581239,-121.507286,2009-01-16T19:00:00Z,2009-03-27T18:00:00Z,VEMCO,V7,1065346,A69-1303,30996,A69-1303-30996,MACFL,A69-1303-30996,nep
MACFL-15611,ANIMAL,38.581239,-121.507286,2009-01-16T20:00:00Z,2009-03-27T19:00:00Z,VEMCO,V7,1065349,A69-1303,30999,A69-1303-30999,MACFL,A69-1303-30999,nep
MACFL-15612,ANIMAL,38.581239,-121.507286,2009-01-16T20:00:00Z,2009-03-27T19:00:00Z,VEMCO,V7,1065352,A69-1303,31002,A69-1303-31002,MACFL,A69-1303-31002,nep
MACFL-15613,ANIMAL,38.581239,-121.507286,2009-01-16T20:00:00Z,2009-03-27T19:00:00Z,VEMCO,V7,1065351,A69-1303,31001,A69-1303-31001,MACFL,A69-1303-31001,nep
MACFL-15614,ANIMAL,38.581239,-121.507286,2009-01-16T20:00:00Z,2009-03-27T19:00:00Z,VEMCO,V7,1065350,A69-1303,31000,A69-1303-31000,MACFL,A69-1303-31000,nep
MACFL-15615,ANIMAL,38.581239,-121.507286,2009-01-16T21:00:00Z,2009-03-27T20:00:00Z,VEMCO,V7,1065358,A69-1303,31009,A69-1303-31009,MACFL,A69-1303-31009,nep
MACFL-15616,ANIMAL,38.581239,-121.507286,2009-01-16T21:00:00Z,2009-03-27T20:00:00Z,VEMCO,V7,1065357,A69-1303,31007,A69-1303-31007,MACFL,A69-1303-31007,nep
MACFL-15617,ANIMAL,38.581239,-121.507286,2009-01-16T21:00:00Z,2009-03-27T20:00:00Z,VEMCO,V7,1065355,A69-1303,31005,A69-1303-31005,MACFL,A69-1303-31005,nep
MACFL-15618,ANIMAL,38.581239,-121.507286,2009-01-16T21:00:00Z,2009-03-27T20:00:00Z,VEMCO,V7,1065354,A69-1303,31004,A69-1303-31004,MACFL,A69-1303-31004,nep
MACFL-15619,ANIMAL,38.581239,-121.507286,2009-01-16T22:00:00Z,2009-03-27T21:00:00Z,VEMCO,V7,1065361,A69-1303,31012,A69-1303-31012,MACFL,A69-1303-31012,nep
MACFL-15620,ANIMAL,38.581239,-121.507286,2009-01-16T22:00:00Z,2009-03-27T21:00:00Z,VEMCO,V7,1065360,A69-1303,31011,A69-1303-31011,MACFL,A69-1303-31011,nep
MACFL-15621,ANIMAL,38.581239,-121.507286,2009-01-16T22:00:00Z,2009-03-27T21:00:00Z,VEMCO,V7,1065359,A69-1303,31010,A69-1303-31010,MACFL,A69-1303-31010,nep
MACFL-15622,ANIMAL,38.581239,-121.507286,2009-01-16T22:00:00Z,2009-03-27T21:00:00Z,VEMCO,V7,1065362,A69-1303,31013,A69-1303-31013,MACFL,A69-1303-31013,nep
MACFL-15623,ANIMAL,38.581239,-121.507286,2009-01-16T23:00:00Z,2009-03-27T22:00:00Z,VEMCO,V7,1065364,A69-1303,31015,A69-1303-31015,MACFL,A69-1303-31015,nep
MACFL-15624,ANIMAL,38.581239,-121.507286,2009-01-16T23:00:00Z,2009-03-27T22:00:00Z,VEMCO,V7,1065365,A69-1303,31016,A69-1303-31016,MACFL,A69-1303-31016,nep
MACFL-15625,ANIMAL,38.581239,-121.507286,2009-01-16T23:00:00Z,2009-03-27T22:00:00Z,VEMCO,V7,1065363,A69-1303,31014,A69-1303-31014,MACFL,A69-1303-31014,nep
MACFL-15626,ANIMAL,38.581239,-121.507286,2009-01-16T23:00:00Z,2009-03-27T22:00:00Z,VEMCO,V7,1065366,A69-1303,31017,A69-1303-31017,MACFL,A69-1303-31017,nep
MACFL-15627,ANIMAL,38.581239,-121.507286,2009-01-17T00:00:00Z,2009-03-27T23:00:00Z,VEMCO,V7,1065367,A69-1303,31018,A69-1303-31018,MACFL,A69-1303-31018,nep
MACFL-15628,ANIMAL,38.581239,-121.507286,2009-01-17T00:00:00Z,2009-03-27T23:00:00Z,VEMCO,V7,1065370,A69-1303,31021,A69-1303-31021,MACFL,A69-1303-31021,nep
MACFL-15629,ANIMAL,38.581239,-121.507286,2009-01-17T00:00:00Z,2009-03-27T23:00:00Z,VEMCO,V7,1065368,A69-1303,31019,A69-1303-31019,MACFL,A69-1303-31019,nep
MACFL-15630,ANIMAL,38.581239,-121.507286,2009-01-17T00:00:00Z,2009-03-27T23:00:00Z,VEMCO,V7,1065369,A69-1303,31020,A69-1303-31020,MACFL,A69-1303-31020,nep
MACFL-15631,ANIMAL,38.581239,-121.507286,2009-01-17T01:00:00Z,2009-03-28T00:00:00Z,VEMCO,V7,1065375,A69-1303,31027,A69-1303-31027,MACFL,A69-1303-31027,nep
MACFL-15632,ANIMAL,38.581239,-121.507286,2009-01-17T01:00:00Z,2009-03-28T00:00:00Z,VEMCO,V7,1065374,A69-1303,31026,A69-1303-31026,MACFL,A69-1303-31026,nep
CCS-42491,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242956,A180-1702,42491,A180-1702-42491,CCS,A180-1702-42491,nep
CCS-42490,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242955,A180-1702,42490,A180-1702-42490,CCS,A180-1702-42490,nep
CCS-42489,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242954,A180-1702,42489,A180-1702-42489,CCS,A180-1702-42489,nep
CCS-42488,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242953,A180-1702,42488,A180-1702-42488,CCS,A180-1702-42488,nep
CCS-42487,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242952,A180-1702,42487,A180-1702-42487,CCS,A180-1702-42487,nep
CCS-42486,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242951,A180-1702,42486,A180-1702-42486,CCS,A180-1702-42486,nep
CCS-42485,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242950,A180-1702,42485,A180-1702-42485,CCS,A180-1702-42485,nep
CCS-42484,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242949,A180-1702,42484,A180-1702-42484,CCS,A180-1702-42484,nep
CCS-42483,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242948,A180-1702,42483,A180-1702-42483,CCS,A180-1702-42483,nep
CCS-42482,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242947,A180-1702,42482,A180-1702-42482,CCS,A180-1702-42482,nep
CCS-42481,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242946,A180-1702,42481,A180-1702-42481,CCS,A180-1702-42481,nep
CCS-42480,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242945,A180-1702,42480,A180-1702-42480,CCS,A180-1702-42480,nep
CCS-42479,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242944,A180-1702,42479,A180-1702-42479,CCS,A180-1702-42479,nep
CCS-42478,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242943,A180-1702,42478,A180-1702-42478,CCS,A180-1702-42478,nep
CCS-42477,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242942,A180-1702,42477,A180-1702-42477,CCS,A180-1702-42477,nep
CCS-42476,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242941,A180-1702,42476,A180-1702-42476,CCS,A180-1702-42476,nep
CCS-42475,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242940,A180-1702,42475,A180-1702-42475,CCS,A180-1702-42475,nep
CCS-42474,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242939,A180-1702,42474,A180-1702-42474,CCS,A180-1702-42474,nep
CCS-42473,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242938,A180-1702,42473,A180-1702-42473,CCS,A180-1702-42473,nep
CCS-42472,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242937,A180-1702,42472,A180-1702-42472,CCS,A180-1702-42472,nep
CCS-42471,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242936,A180-1702,42471,A180-1702-42471,CCS,A180-1702-42471,nep
CCS-42470,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242935,A180-1702,42470,A180-1702-42470,CCS,A180-1702-42470,nep
CCS-42469,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242934,A180-1702,42469,A180-1702-42469,CCS,A180-1702-42469,nep
CCS-42468,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242933,A180-1702,42468,A180-1702-42468,CCS,A180-1702-42468,nep
CCS-42467,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242932,A180-1702,42467,A180-1702-42467,CCS,A180-1702-42467,nep
CCS-42466,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242931,A180-1702,42466,A180-1702-42466,CCS,A180-1702-42466,nep
CCS-42465,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242930,A180-1702,42465,A180-1702-42465,CCS,A180-1702-42465,nep
CCS-42464,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242929,A180-1702,42464,A180-1702-42464,CCS,A180-1702-42464,nep
CCS-42463,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242928,A180-1702,42463,A180-1702-42463,CCS,A180-1702-42463,nep
CCS-42462,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242927,A180-1702,42462,A180-1702-42462,CCS,A180-1702-42462,nep
CCS-42461,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242926,A180-1702,42461,A180-1702-42461,CCS,A180-1702-42461,nep
CCS-42460,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242925,A180-1702,42460,A180-1702-42460,CCS,A180-1702-42460,nep
CCS-42459,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242924,A180-1702,42459,A180-1702-42459,CCS,A180-1702-42459,nep
CCS-42458,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242923,A180-1702,42458,A180-1702-42458,CCS,A180-1702-42458,nep
CCS-42457,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242922,A180-1702,42457,A180-1702-42457,CCS,A180-1702-42457,nep
CCS-42456,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242921,A180-1702,42456,A180-1702-42456,CCS,A180-1702-42456,nep
CCS-42455,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242920,A180-1702,42455,A180-1702-42455,CCS,A180-1702-42455,nep
CCS-42454,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242919,A180-1702,42454,A180-1702-42454,CCS,A180-1702-42454,nep
CCS-42453,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242918,A180-1702,42453,A180-1702-42453,CCS,A180-1702-42453,nep
CCS-42452,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242917,A180-1702,42452,A180-1702-42452,CCS,A180-1702-42452,nep
CCS-42451,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242916,A180-1702,42451,A180-1702-42451,CCS,A180-1702-42451,nep
CCS-42450,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242915,A180-1702,42450,A180-1702-42450,CCS,A180-1702-42450,nep
CCS-42449,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242914,A180-1702,42449,A180-1702-42449,CCS,A180-1702-42449,nep
CCS-42448,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242913,A180-1702,42448,A180-1702-42448,CCS,A180-1702-42448,nep
CCS-42447,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242912,A180-1702,42447,A180-1702-42447,CCS,A180-1702-42447,nep
CCS-42446,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242911,A180-1702,42446,A180-1702-42446,CCS,A180-1702-42446,nep
CCS-42445,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242910,A180-1702,42445,A180-1702-42445,CCS,A180-1702-42445,nep
CCS-42444,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242909,A180-1702,42444,A180-1702-42444,CCS,A180-1702-42444,nep
CCS-42443,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242908,A180-1702,42443,A180-1702-42443,CCS,A180-1702-42443,nep
CCS-42442,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-09-16T07:30:00Z,VEMCO,V5-1H,1242907,A180-1702,42442,A180-1702-42442,CCS,A180-1702-42442,nep
CCS-42441,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242906,A180-1702,42441,A180-1702-42441,CCS,A180-1702-42441,nep
CCS-42440,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242905,A180-1702,42440,A180-1702-42440,CCS,A180-1702-42440,nep
CCS-42439,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242904,A180-1702,42439,A180-1702-42439,CCS,A180-1702-42439,nep
CCS-42438,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242903,A180-1702,42438,A180-1702-42438,CCS,A180-1702-42438,nep
CCS-42437,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242902,A180-1702,42437,A180-1702-42437,CCS,A180-1702-42437,nep
CCS-42436,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242901,A180-1702,42436,A180-1702-42436,CCS,A180-1702-42436,nep
CCS-42435,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242900,A180-1702,42435,A180-1702-42435,CCS,A180-1702-42435,nep
CCS-42434,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242899,A180-1702,42434,A180-1702-42434,CCS,A180-1702-42434,nep
CCS-42433,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242898,A180-1702,42433,A180-1702-42433,CCS,A180-1702-42433,nep
CCS-42432,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242897,A180-1702,42432,A180-1702-42432,CCS,A180-1702-42432,nep
CCS-42431,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242896,A180-1702,42431,A180-1702-42431,CCS,A180-1702-42431,nep
CCS-42430,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242895,A180-1702,42430,A180-1702-42430,CCS,A180-1702-42430,nep
CCS-42429,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242894,A180-1702,42429,A180-1702-42429,CCS,A180-1702-42429,nep
CCS-42428,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242893,A180-1702,42428,A180-1702-42428,CCS,A180-1702-42428,nep
CCS-42427,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242892,A180-1702,42427,A180-1702-42427,CCS,A180-1702-42427,nep
CCS-42426,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242891,A180-1702,42426,A180-1702-42426,CCS,A180-1702-42426,nep
CCS-42425,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242890,A180-1702,42425,A180-1702-42425,CCS,A180-1702-42425,nep
CCS-42424,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242889,A180-1702,42424,A180-1702-42424,CCS,A180-1702-42424,nep
CCS-42423,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242888,A180-1702,42423,A180-1702-42423,CCS,A180-1702-42423,nep
CCS-42422,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242887,A180-1702,42422,A180-1702-42422,CCS,A180-1702-42422,nep
CCS-42421,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242886,A180-1702,42421,A180-1702-42421,CCS,A180-1702-42421,nep
CCS-42420,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242885,A180-1702,42420,A180-1702-42420,CCS,A180-1702-42420,nep
CCS-42419,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242884,A180-1702,42419,A180-1702-42419,CCS,A180-1702-42419,nep
CCS-42418,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242883,A180-1702,42418,A180-1702-42418,CCS,A180-1702-42418,nep
CCS-42417,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242882,A180-1702,42417,A180-1702-42417,CCS,A180-1702-42417,nep
CCS-42416,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242881,A180-1702,42416,A180-1702-42416,CCS,A180-1702-42416,nep
CCS-42415,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242880,A180-1702,42415,A180-1702-42415,CCS,A180-1702-42415,nep
CCS-42414,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242879,A180-1702,42414,A180-1702-42414,CCS,A180-1702-42414,nep
CCS-42413,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242878,A180-1702,42413,A180-1702-42413,CCS,A180-1702-42413,nep
CCS-42412,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242877,A180-1702,42412,A180-1702-42412,CCS,A180-1702-42412,nep
CCS-42411,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242876,A180-1702,42411,A180-1702-42411,CCS,A180-1702-42411,nep
CCS-42410,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242875,A180-1702,42410,A180-1702-42410,CCS,A180-1702-42410,nep
CCS-42409,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242874,A180-1702,42409,A180-1702-42409,CCS,A180-1702-42409,nep
CCS-42408,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242873,A180-1702,42408,A180-1702-42408,CCS,A180-1702-42408,nep
CCS-42407,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242872,A180-1702,42407,A180-1702-42407,CCS,A180-1702-42407,nep
CCS-42406,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242871,A180-1702,42406,A180-1702-42406,CCS,A180-1702-42406,nep
CCS-42405,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242870,A180-1702,42405,A180-1702-42405,CCS,A180-1702-42405,nep
CCS-42404,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242869,A180-1702,42404,A180-1702-42404,CCS,A180-1702-42404,nep
CCS-42403,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242868,A180-1702,42403,A180-1702-42403,CCS,A180-1702-42403,nep
CCS-42402,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242867,A180-1702,42402,A180-1702-42402,CCS,A180-1702-42402,nep
CCS-42401,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242866,A180-1702,42401,A180-1702-42401,CCS,A180-1702-42401,nep
CCS-42400,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242865,A180-1702,42400,A180-1702-42400,CCS,A180-1702-42400,nep
CCS-42399,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242864,A180-1702,42399,A180-1702-42399,CCS,A180-1702-42399,nep
CCS-42398,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242863,A180-1702,42398,A180-1702-42398,CCS,A180-1702-42398,nep
CCS-42397,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242862,A180-1702,42397,A180-1702-42397,CCS,A180-1702-42397,nep
CCS-42396,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242861,A180-1702,42396,A180-1702-42396,CCS,A180-1702-42396,nep
CCS-42395,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242860,A180-1702,42395,A180-1702-42395,CCS,A180-1702-42395,nep
CCS-42394,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242859,A180-1702,42394,A180-1702-42394,CCS,A180-1702-42394,nep
CCS-42393,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242858,A180-1702,42393,A180-1702-42393,CCS,A180-1702-42393,nep
CCS-42392,ANIMAL,51.71539,-124.10665,2016-04-15T07:30:00Z,2016-07-14T07:30:00Z,VEMCO,V5-1H,1242857,A180-1702,42392,A180-1702-42392,CCS,A180-1702-42392,nep
CCSALMON-1274650-2017-09-13,ANIMAL,48.8204,-123.59385,2017-09-13T05:00:00Z,2018-02-25T06:00:00Z,VEMCO,V9-6L,1274650,A69-1602,2518,A69-1602-2518,CCSALMON,A69-1602-2518,nep
CCSALMON-1274649-2017-09-13,ANIMAL,48.8204,-123.59385,2017-09-13T03:35:00Z,2018-02-25T04:35:00Z,VEMCO,V9-6L,1274649,A69-1602,2517,A69-1602-2517,CCSALMON,A69-1602-2517,nep
CCSALMON-1274648-2017-09-12,ANIMAL,48.8204,-123.59385,2017-09-13T02:55:00Z,2018-02-25T03:55:00Z,VEMCO,V9-6L,1274648,A69-1602,2516,A69-1602-2516,CCSALMON,A69-1602-2516,nep
CCSALMON-1274647-2017-09-12,ANIMAL,48.8204,-123.59385,2017-09-13T02:55:00Z,2018-02-25T03:55:00Z,VEMCO,V9-6L,1274647,A69-1602,2515,A69-1602-2515,CCSALMON,A69-1602-2515,nep
CCSALMON-1274646-2017-09-12,ANIMAL,48.8204,-123.59385,2017-09-13T02:55:00Z,2018-02-25T03:55:00Z,VEMCO,V9-6L,1274646,A69-1602,2514,A69-1602-2514,CCSALMON,A69-1602-2514,nep
CCSALMON-1274645-2017-09-12,ANIMAL,48.8204,-123.59385,2017-09-13T02:50:00Z,2018-02-25T03:50:00Z,VEMCO,V9-6L,1274645,A69-1602,2513,A69-1602-2513,CCSALMON,A69-1602-2513,nep
CCSALMON-1274644-2017-09-12,ANIMAL,48.8204,-123.59385,2017-09-13T02:05:00Z,2018-02-25T03:05:00Z,VEMCO,V9-6L,1274644,A69-1602,2512,A69-1602-2512,CCSALMON,A69-1602-2512,nep
CCSALMON-1274643-2017-09-12,ANIMAL,48.8204,-123.59385,2017-09-13T02:05:00Z,2018-02-25T03:05:00Z,VEMCO,V9-6L,1274643,A69-1602,2511,A69-1602-2511,CCSALMON,A69-1602-2511,nep
