deployment_id,receiver_reference_type,receiver_serial_number,receiver_manufacturer,latitude (degrees_north),longitude (degrees_east),time(UTC),recovery_datetime_utc (UTC),bottom_depth (m),depth (m),deployment_comments,deployment_project_reference,receiver_model,receiver_reference_id,datacenter_reference
ASF-Hacket's Beach-VR2W-113167-2013,ManmadePlatform,113167,VEMCO,46.95757,-65.67292,2013-04-23T17:26:20Z,2013-08-08T13:45:00Z,7,2.5,UNKNOWN,ASF,VR2W,ASF_ASF-Hacket's Beach,OTN-Global
ASF-CB10-VR2W-109395-2013,ManmadePlatform,109395,VEMCO,47.87499,-65.26294,2013-05-03T21:03:40Z,2013-08-29T11:17:09Z,76.2,8,UNKNOWN,ASF,VR2W,ASF_ASF-CB10,OTN-Global
ASF-CB11-VR2W-120035-2013,ManmadePlatform,120035,VEMCO,47.88125,-65.26898,2013-05-03T21:08:40Z,2013-08-29T11:30:00Z,73.15,8,UNKNOWN,ASF,VR2W,ASF_ASF-CB11,OTN-Global
ASF-CB12-VR2W-120012-2013,ManmadePlatform,120012,VEMCO,47.88778,-65.27483,2013-05-03T21:15:15Z,2013-08-29T11:42:51Z,71.63,8,UNKNOWN,ASF,VR2W,ASF_ASF-CB12,OTN-Global
ASF-CB15-VR2W-120015-2013,ManmadePlatform,120015,VEMCO,47.90709,-65.29259,2013-05-03T21:26:25Z,2013-08-29T12:21:26Z,73.15,8,UNKNOWN,ASF,VR2W,ASF_ASF-CB15,OTN-Global
ASF-CB16-VR2W-119975-2013,ManmadePlatform,119975,VEMCO,47.91337,-65.2984,2013-05-03T21:30:00Z,2013-08-29T12:34:17Z,73.15,8,UNKNOWN,ASF,VR2W,ASF_ASF-CB16,OTN-Global
ASF-CB17-VR2W-120029-2013,ManmadePlatform,120029,VEMCO,47.91993,-65.30399,2013-05-03T21:33:50Z,2013-08-29T12:47:09Z,73.15,8,UNKNOWN,ASF,VR2W,ASF_ASF-CB17,OTN-Global
ASF-CB19-VR2W-120024-2013,ManmadePlatform,120024,VEMCO,47.93274,-65.316,2013-05-03T21:40:25Z,2013-08-29T13:12:51Z,68.58,8,UNKNOWN,ASF,VR2W,ASF_ASF-CB19,OTN-Global
ASF-CB20-VR2W-120025-2013,ManmadePlatform,120025,VEMCO,47.93926,-65.32194,2013-05-03T21:43:35Z,2013-08-29T13:25:43Z,65.53,8,UNKNOWN,ASF,VR2W,ASF_ASF-CB20,OTN-Global
ASF-CB21-VR2W-120017-2013,ManmadePlatform,120017,VEMCO,47.94567,-65.32784,2013-05-03T21:46:37Z,2013-08-29T13:38:34Z,60.96,8,UNKNOWN,ASF,VR2W,ASF_ASF-CB21,OTN-Global
ASF-CB22-VR2W-120031-2013,ManmadePlatform,120031,VEMCO,47.95208,-65.33383,2013-05-03T21:49:40Z,2013-08-29T13:51:26Z,57.91,8,UNKNOWN,ASF,VR2W,ASF_ASF-CB22,OTN-Global
ASF-CB23-VR2W-103140-2013,ManmadePlatform,103140,VEMCO,47.95859,-65.33974,2013-05-03T21:53:55Z,2013-08-29T14:04:17Z,51.82,8,UNKNOWN,ASF,VR2W,ASF_ASF-CB23,OTN-Global
ASF-CB24-VR2W-120026-2013,ManmadePlatform,120026,VEMCO,47.96488,-65.34563,2013-05-03T21:56:50Z,2013-08-29T14:17:09Z,45.72,8,UNKNOWN,ASF,VR2W,ASF_ASF-CB24,OTN-Global
ASF-CB25-VR2W-109524-2013,ManmadePlatform,109524,VEMCO,47.97136,-65.35157,2013-05-03T22:00:17Z,2013-08-29T14:30:00Z,45.72,8,UNKNOWN,ASF,VR2W,ASF_ASF-CB25,OTN-Global
ASF-CB25-Minilogger-5614J-2013,ManmadePlatform,Minilogger-5614J,VEMCO,47.97136,-65.35157,2013-05-03T22:00:17Z,2013-08-29T14:30:00Z,45.72,4,UNKNOWN,ASF,MiniLogger,ASF_ASF-CB25,OTN-Global
ASF-CB26-VR2W-113153-2013,ManmadePlatform,113153,VEMCO,47.97775,-65.35748,2013-05-03T22:04:20Z,2013-10-10T17:45:00Z,39.62,8,UNKNOWN,ASF,VR2W,ASF_ASF-CB26,OTN-Global
ASF-CB27-VR2W-120030-2013,ManmadePlatform,120030,VEMCO,47.98415,-65.36345,2013-05-03T22:08:36Z,2013-10-10T17:30:00Z,30.48,8,UNKNOWN,ASF,VR2W,ASF_ASF-CB27,OTN-Global
ASF-CB28-VR2W-120028-2013,ManmadePlatform,120028,VEMCO,47.99062,-65.36899,2013-05-03T22:12:23Z,2013-10-10T19:00:00Z,18.29,8,UNKNOWN,ASF,VR2W,ASF_ASF-CB28,OTN-Global
ASF-Rest 1-VR2W-119977-2013,ManmadePlatform,119977,VEMCO,48.00285,-66.69775,2013-04-29T21:57:50Z,2013-09-10T20:19:00Z,2.1,1,UNKNOWN,ASF,VR2W,ASF_ASF-Rest 1,OTN-Global
