platform_reference_id	platform_project_reference	platform_type	platform_depth	latitude(degree_north)	longitude(degree_east)	datacenter_reference
ASF-Bridge 2	ASF	Underwater mooring	135.3	50.30036	-64.30036	OTN-Global
ASF-Estuary 1	ASF	Underwater mooring	135.3	50.28344	-64.33708	OTN-Global
ASF-Estuary 2	ASF	Underwater mooring	135.3	50.28369	-64.33736	OTN-Global
ASF-Bridge	ASF	Underwater mooring	135.3	50.3	-64.31317	OTN-Global
ASF-East Line F	ASF	Underwater mooring	21	50.2472	-64.2256	OTN-Global
ASF-East Line G	ASF	Underwater mooring	38.4	50.2392	-64.2256	OTN-Global
ASF-East Line H	ASF	Underwater mooring	66.4	50.2306	-64.2264	OTN-Global
ASF-Estuary-2009	ASF	Underwater mooring	135.3	46.4399	-61.1132	OTN-Global
ASF-Rest Long Is. N	ASF	Underwater mooring	135.3	47.97307	-66.93804	OTN-Global
ASF-Gulf E	ASF	Underwater mooring	135.3	50.26222	-64.38722	OTN-Global
ASF-Gulf D	ASF	Underwater mooring	135.3	50.26444	-64.40139	OTN-Global
ASF-Gulf C	ASF	Underwater mooring	135.3	50.26889	-64.41111	OTN-Global
ASF-Rest Long Is s	ASF	Underwater mooring	135.3	47.97307	-66.93804	OTN-Global
ASF-Rest RR bridge	ASF	Underwater mooring	135.3	47.97307	-66.93804	OTN-Global
ASF-S. Portage 2	ASF	Underwater mooring	135.3	47.1422	-65.0447	OTN-Global
ASF-ST Neguac 1	ASF	Underwater mooring	135.3	47.2053	-65.0431	OTN-Global
ASF-Meo	ASF	Underwater mooring	2	50.46473	-64.15338	OTN-Global
ASF-West Line C	ASF	Underwater mooring	135.3	50.29167	-64.43778	OTN-Global
ASF-West Line D	ASF	Underwater mooring	135.3	50.28333	-64.43556	OTN-Global
ASF-Upper portage	ASF	Underwater mooring	135.3	50.3535	-64.2305	OTN-Global
ASF-Landslide	ASF	Underwater mooring	135.3	50.31425	-64.31019	OTN-Global
ASF-Gulf J	ASF	Underwater mooring	135.3	50.23972	-64.33194	OTN-Global
ASF-Gulf K	ASF	Underwater mooring	135.3	50.24	-64.31925	OTN-Global
ASF-Gulf L	ASF	Underwater mooring	135.3	50.23833	-64.30694	OTN-Global
ASF-Gulf M	ASF	Underwater mooring	135.3	50.23833	-64.29583	OTN-Global
ASF-Gulf N	ASF	Underwater mooring	135.3	50.24333	-64.28667	OTN-Global
ASF-ST300m	ASF	Underwater mooring	68.58	47.8519	-65.2389	OTN-Global
ASF-Portage Is 2	ASF	Underwater mooring	135.3	47.14052	-65.04407	OTN-Global
ASF-Portage Is 1	ASF	Underwater mooring	135.3	47.14402	-65.09587	OTN-Global
ASF-Ponds Resort- Bridge 1	ASF	Underwater mooring	135.3	46.497	-65.35583	OTN-Global
ASF-Ponds Resort- Bridge 2	ASF	Underwater mooring	135.3	46.49417	-66.35467	OTN-Global
ASF-Neguac 3 2006	ASF	Underwater mooring	135.3	47.19565	-65.04232	OTN-Global
ASF-Neguac 1 2006	ASF	Underwater mooring	135.3	47.20455	-65.03517	OTN-Global
ASF-Neguac 2 2006	ASF	Underwater mooring	135.3	47.19868	-65.0364	OTN-Global
ASF-Neguac 2	ASF	Underwater mooring	135.3	47.2069	-65.03788	OTN-Global
ASF-Neguac 3	ASF	Underwater mooring	135.3	47.20535	-65.0468	OTN-Global
ASF-NORDIN 1 Downstream of Newcastle	ASF	Underwater mooring	135.3	47.01553	-65.54365	OTN-Global
ASF-NORDIN 2 Downstream of Newcastle	ASF	Underwater mooring	135.3	47.01408	-65.54173	OTN-Global
ASF-Nelson	ASF	Underwater mooring	135.3	46.98775	-65.55915	OTN-Global
ASF-NORTH SHORE OF BAY	ASF	Underwater mooring	135.3	47.13668	-65.2214	OTN-Global
ASF-Chaleur Bay 15	ASF	Underwater mooring	135.3	47.91288	-65.30103	OTN-Global
ASF-Chaleur Bay 16	ASF	Underwater mooring	135.3	47.91292	-65.30105	OTN-Global
ASF-Chaleur Bay 17	ASF	Underwater mooring	135.3	47.92055	-65.30977	OTN-Global
ASF-Chaleur Bay 19	ASF	Underwater mooring	135.3	47.94258	-65.33477	OTN-Global
ASF-Chaleur Bay 20	ASF	Underwater mooring	135.3	47.95675	-65.35192	OTN-Global
ASF-Chaleur Bay 21	ASF	Underwater mooring	135.3	47.9635	-65.35995	OTN-Global
ASF-Chaleur Bay 22	ASF	Underwater mooring	135.3	47.97125	-65.36853	OTN-Global
ASF-Chaleur Bay 23	ASF	Underwater mooring	135.3	47.97863	-65.37787	OTN-Global
ASF-Chaleur Bay 25	ASF	Underwater mooring	135.3	47.9925	-65.39385	OTN-Global
ASF-Chaleur Bay 26	ASF	Underwater mooring	135.3	47.9991	-65.40167	OTN-Global
ASF-MILLSTREAM 2/Whitneyville	ASF	Underwater mooring	135.3	46.95853	-65.7288	OTN-Global
ASF-MILLSTREAM 1	ASF	Underwater mooring	135.3	46.9644	-65.7043	OTN-Global
ASF-Millstream 2	ASF	Underwater mooring	135.3	46.9645	-65.70405	OTN-Global
ASF-Millstream	ASF	Underwater mooring	135.3	46.96483	-65.70958	OTN-Global
ASF-MIDDLE ISLAND 1	ASF	Underwater mooring	135.3	47.05512	-65.45772	OTN-Global
ASF-MIDDLE ISLAND 2	ASF	Underwater mooring	135.3	47.05392	-65.45558	OTN-Global
ASF-MIDDLE ISLAND 2 2009	ASF	Underwater mooring	135.3	47.05518	-65.4567	OTN-Global
ASF-Middle Is.	ASF	Underwater mooring	135.3	47.05507	-65.45698	OTN-Global
ASF-Boiestown-Tuckaway Lodge	ASF	Underwater mooring	135.3	46.47652	-66.4007	OTN-Global
ASF-Boiestown 2	ASF	Underwater mooring	135.3	46.46952	-66.40315	OTN-Global
ASF-Boies1	ASF	Underwater mooring	135.3	46.47517	-66.40005	OTN-Global
ASF-Chaleur Bay 7REPLACE	ASF	Underwater mooring	135.3	47.86367	-65.24217	OTN-Global
ASF-Chaleur Bay 27	ASF	Underwater mooring	135.3	47.819	-65.18933	OTN-Global
ASF-Chaleur Bay 28	ASF	Underwater mooring	135.3	47.81983	-65.16333	OTN-Global
ASF-CHBAY-27	ASF	Underwater mooring	135.3	47.8105	-65.22328	OTN-Global
ASF-CHBAY-1	ASF	Underwater mooring	135.3	47.81527	-65.20925	OTN-Global
ASF-CHBAY-28	ASF	Underwater mooring	135.3	47.81895	-65.22823	OTN-Global
ASF-CHBAY-2	ASF	Underwater mooring	135.3	47.82073	-65.21413	OTN-Global
ASF-CHBAY-29	ASF	Underwater mooring	135.3	47.82658	-65.2356	OTN-Global
ASF-CHBAY-3	ASF	Underwater mooring	135.3	47.83535	-65.20893	OTN-Global
ASF-CHBAY-4	ASF	Underwater mooring	135.3	47.84248	-65.21732	OTN-Global
ASF-CHBAY-5	ASF	Underwater mooring	135.3	47.84965	-65.22575	OTN-Global
ASF-CHBAY-7	ASF	Underwater mooring	135.3	47.86393	-65.24253	OTN-Global
ASF-CHBAY-10	ASF	Underwater mooring	135.3	47.86538	-65.25478	OTN-Global
ASF-CHBAY-8	ASF	Underwater mooring	135.3	47.87113	-65.25053	OTN-Global
ASF-CHBAY-15	ASF	Underwater mooring	135.3	47.90028	-65.28652	OTN-Global
ASF-CHBAY-16	ASF	Underwater mooring	135.3	47.9072	-65.29288	OTN-Global
ASF-CHBAY-17	ASF	Underwater mooring	135.3	47.91418	-65.29917	OTN-Global
ASF-CHBAY-18	ASF	Underwater mooring	135.3	47.92093	-65.30542	OTN-Global
ASF-CHBAY-19	ASF	Underwater mooring	135.3	47.92785	-65.3117	OTN-Global
ASF-CHBAY-20	ASF	Underwater mooring	135.3	47.93477	-65.318	OTN-Global
ASF-CHBAY-21	ASF	Underwater mooring	135.3	47.94175	-65.32438	OTN-Global
ASF-CHBAY-22	ASF	Underwater mooring	135.3	47.9486	-65.33075	OTN-Global
ASF-CHBAY-23	ASF	Underwater mooring	135.3	47.9552	-65.33678	OTN-Global
ASF-CHBAY-24	ASF	Underwater mooring	135.3	47.9854	-65.38548	OTN-Global
ASF-CHBAY-25	ASF	Underwater mooring	135.3	47.99242	-65.3938	OTN-Global
ASF-CHBAY-26	ASF	Underwater mooring	135.3	47.99925	-65.401	OTN-Global
ASF-Boies2	ASF	Underwater mooring	135.3	46.47575	-66.40132	OTN-Global
ASF-CHB 1	ASF	Underwater mooring	135.3	47.81567	-65.20855	OTN-Global
ASF-CHB 2	ASF	Underwater mooring	135.3	47.82072	-65.21463	OTN-Global
ASF-CHB 3	ASF	Underwater mooring	135.3	47.82617	-65.21858	OTN-Global
ASF-CHB 4	ASF	Underwater mooring	135.3	47.83138	-65.22337	OTN-Global
ASF-CHB 5	ASF	Underwater mooring	135.3	47.83715	-65.22873	OTN-Global
ASF-CHB 6	ASF	Underwater mooring	135.3	47.84255	-65.2338	OTN-Global
ASF-CHB 7	ASF	Underwater mooring	135.3	47.8475	-65.23887	OTN-Global
ASF-CHB 8	ASF	Underwater mooring	135.3	47.85328	-65.24363	OTN-Global
ASF-CHB 9	ASF	Underwater mooring	135.3	47.85922	-65.24818	OTN-Global
ASF-CHB 10	ASF	Underwater mooring	135.3	47.86545	-65.25502	OTN-Global
ASF-CHB 11	ASF	Underwater mooring	135.3	47.87248	-65.26142	OTN-Global
ASF-CHB 12	ASF	Underwater mooring	135.3	47.87955	-65.26603	OTN-Global
ASF-CHB 13	ASF	Underwater mooring	135.3	47.88623	-65.2743	OTN-Global
ASF-CHB 14	ASF	Underwater mooring	135.3	47.89308	-65.28075	OTN-Global
ASF-CHB 15	ASF	Underwater mooring	135.3	47.90057	-65.28682	OTN-Global
ASF-CHB 16	ASF	Underwater mooring	135.3	47.90772	-65.29297	OTN-Global
ASF-CHB 17	ASF	Underwater mooring	135.3	47.91413	-65.29975	OTN-Global
ASF-CHB 18	ASF	Underwater mooring	135.3	47.92382	-65.30933	OTN-Global
ASF-CHB 19	ASF	Underwater mooring	135.3	47.93018	-65.31193	OTN-Global
ASF-CHB 20	ASF	Underwater mooring	135.3	47.9351	-65.31865	OTN-Global
ASF-CHB 21	ASF	Underwater mooring	135.3	47.94215	-65.3245	OTN-Global
ASF-CHB 22	ASF	Underwater mooring	135.3	47.94872	-65.33132	OTN-Global
ASF-CHB 23	ASF	Underwater mooring	135.3	47.95535	-65.33698	OTN-Global
ASF-CHB 24	ASF	Underwater mooring	135.3	47.96245	-65.34295	OTN-Global
ASF-CHB 25	ASF	Underwater mooring	135.3	47.96925	-65.34962	OTN-Global
ASF-CHB 26	ASF	Underwater mooring	135.3	47.97643	-65.356	OTN-Global
ASF-CHB 27	ASF	Underwater mooring	135.3	47.98285	-65.36242	OTN-Global
ASF-CHB 28	ASF	Underwater mooring	135.3	47.99075	-65.36913	OTN-Global
ASF-CHB 29	ASF	Underwater mooring	135.3	47.99782	-65.37532	OTN-Global
ASF-CB1	ASF	Underwater mooring	135.3	47.81503	-65.20863	OTN-Global
ASF-CB2	ASF	Underwater mooring	135.3	47.82103	-65.214	OTN-Global
ASF-CB3	ASF	Underwater mooring	135.3	47.82633	-65.21888	OTN-Global
ASF-CB4	ASF	Underwater mooring	135.3	47.83153	-65.22368	OTN-Global
ASF-CB5	ASF	Underwater mooring	135.3	47.83702	-65.22885	OTN-Global
ASF-CB6	ASF	Underwater mooring	135.3	47.84223	-65.23345	OTN-Global
ASF-CB7	ASF	Underwater mooring	135.3	47.84785	-65.23913	OTN-Global
ASF-CB8	ASF	Underwater mooring	135.3	47.85323	-65.24378	OTN-Global
ASF-CB9	ASF	Underwater mooring	135.3	47.85897	-65.24855	OTN-Global
ASF-CB10	ASF	Underwater mooring	135.3	47.86542	-65.25482	OTN-Global
ASF-CB11	ASF	Underwater mooring	135.3	47.8727	-65.26175	OTN-Global
ASF-CB12	ASF	Underwater mooring	135.3	47.87942	-65.26697	OTN-Global
ASF-CB13	ASF	Underwater mooring	135.3	47.88623	-65.2737	OTN-Global
ASF-CB14	ASF	Underwater mooring	135.3	47.89332	-65.28033	OTN-Global
ASF-CB15	ASF	Underwater mooring	135.3	47.90032	-65.28652	OTN-Global
ASF-CB16	ASF	Underwater mooring	135.3	47.9075	-65.29292	OTN-Global
ASF-CB17	ASF	Underwater mooring	135.3	47.91418	-65.29935	OTN-Global
ASF-CB18	ASF	Underwater mooring	135.3	47.92367	-65.3091	OTN-Global
ASF-CB19	ASF	Underwater mooring	135.3	47.9302	-65.31177	OTN-Global
ASF-CB20	ASF	Underwater mooring	135.3	47.93477	-65.31815	OTN-Global
ASF-CB21	ASF	Underwater mooring	135.3	47.94205	-65.32418	OTN-Global
ASF-CB22	ASF	Underwater mooring	135.3	47.9486	-65.33085	OTN-Global
ASF-CB23	ASF	Underwater mooring	135.3	47.95458	-65.33663	OTN-Global
ASF-CB24	ASF	Underwater mooring	135.3	47.96243	-65.34307	OTN-Global
ASF-CB25	ASF	Underwater mooring	135.3	47.96918	-65.34932	OTN-Global
ASF-CB26	ASF	Underwater mooring	135.3	47.97632	-65.35645	OTN-Global
ASF-CB27	ASF	Underwater mooring	135.3	47.98288	-65.36173	OTN-Global
ASF-CB28	ASF	Underwater mooring	135.3	47.99062	-65.36922	OTN-Global
ASF-CB29	ASF	Underwater mooring	135.3	47.99728	-65.37537	OTN-Global
ASF-Barnaby Isand	ASF	Underwater mooring	135.3	46.91154	-65.62074	OTN-Global
ASF-BB low	ASF	Underwater mooring	135.3	46.98929	-65.55853	OTN-Global
ASF-BARTIBOG UPSTREAM 1	ASF	Underwater mooring	135.3	47.07797	-65.36612	OTN-Global
ASF-BARTIBOG UPSTREAM 2	ASF	Underwater mooring	135.3	47.08207	-65.36639	OTN-Global
ASF-Quarryville	ASF	Underwater mooring	135.3	46.83865	-65.74458	OTN-Global
ASF-DoylesBr	ASF	Underwater mooring	135.3	46.85	-65.7	OTN-Global
ASF-Cassilis 2	ASF	Underwater mooring	135.3	46.93438	-65.78328	OTN-Global
ASF-Cass 1	ASF	Underwater mooring	135.3	46.93703	-65.77995	OTN-Global
ASF-Cass 2	ASF	Underwater mooring	135.3	46.93685	-65.78011	OTN-Global
ASF-Cass 1 2005	ASF	Underwater mooring	135.3	46.93977	-65.77749	OTN-Global
ASF-UPPER BB ISLAND	ASF	Underwater mooring	135.3	46.96002	-65.58425	OTN-Global
ASF-Upper Beaubear Island SW	ASF	Underwater mooring	135.3	46.96065	-65.58388	OTN-Global
ASF-East end of Beaubear Island-Strawberry Marsh	ASF	Underwater mooring	135.3	46.98688	-65.55905	OTN-Global
ASF-Down's Gulch	ASF	Underwater mooring	135.3	47.75379	-67.44809	OTN-Global
ASF-CASC1	ASF	Underwater mooring	135.3	48.09123	-65.66475	OTN-Global
ASF-CASC2	ASF	Underwater mooring	135.3	48.08235	-65.66627	OTN-Global
ASF-CASC3	ASF	Underwater mooring	135.3	48.07346	-65.67134	OTN-Global
ASF-Cascapedia 1	ASF	Underwater mooring	135.3	48.20847	-65.90415	OTN-Global
ASF-Cascapedia 2	ASF	Underwater mooring	135.3	48.18993	-65.90375	OTN-Global
ASF-Cascapedia River 2	ASF	Underwater mooring	135.3	48.25252	-65.89808	OTN-Global
ASF-Cascapedia River 1	ASF	Underwater mooring	135.3	48.25225	-65.90237	OTN-Global
ASF-Belledune Coastline 1	ASF	Underwater mooring	135.3	47.92293	-65.89374	OTN-Global
ASF-Belledune Coastline 2	ASF	Underwater mooring	135.3	47.93039	-65.88554	OTN-Global
ASF-Belledune Coastline 3	ASF	Underwater mooring	135.3	47.93815	-65.87947	OTN-Global
ASF-WAB001	ASF	Underwater mooring	135.3	51.20767	-56.77163	OTN-Global
Barnaby Island-2015	ASF	Underwater mooring	4	46.910933	-65.622117	OTN-Global
BLW Little Sevogle-2015	ASF	Underwater mooring	135.3	47.01257	-65.83742	OTN-Global
Casc 1-2015	ASF	Underwater mooring	4	48.2084	-65.90534	OTN-Global
Casc 2-2015	ASF	Underwater mooring	3	48.1903	-65.90461	OTN-Global
Cassilis-2015	ASF	Underwater mooring	2	46.93493	-65.78328	OTN-Global
CB10-2015	ASF	Underwater mooring	76.2	47.8749883	-65.2629433	OTN-Global
CB11-2015	ASF	Underwater mooring	73.152	47.881245	-65.26898	OTN-Global
CB1-2015	ASF	Underwater mooring	7.9248	47.817185	-65.2099033	OTN-Global
CB12-2015	ASF	Underwater mooring	71.628	47.887775	-65.2748283	OTN-Global
CB13-2015	ASF	Underwater mooring	73.152	47.89413	-65.28072	OTN-Global
CB14-2015	ASF	Underwater mooring	73.152	47.9006767	-65.286695	OTN-Global
CB15-2015	ASF	Underwater mooring	73.152	47.9070883	-65.29259	OTN-Global
CB16-2015	ASF	Underwater mooring	73.152	47.9133733	-65.2984	OTN-Global
CB17-2015	ASF	Underwater mooring	73.152	47.9199267	-65.3039883	OTN-Global
CB18-2015	ASF	Underwater mooring	73.152	47.926345	-65.3101067	OTN-Global
CB19-2015	ASF	Underwater mooring	68.58	47.932735	-65.3159983	OTN-Global
CB20-2015	ASF	Underwater mooring	65.532	47.9392583	-65.3219417	OTN-Global
CB21-2015	ASF	Underwater mooring	60.96	47.9456733	-65.327835	OTN-Global
CB22-2015	ASF	Underwater mooring	57.912	47.9520783	-65.333825	OTN-Global
CB23-2015	ASF	Underwater mooring	51.816	47.9585867	-65.3397367	OTN-Global
CB24-2015	ASF	Underwater mooring	45.72	47.9648783	-65.3456267	OTN-Global
CB25-2015	ASF	Underwater mooring	45.72	47.9713567	-65.351565	OTN-Global
CB26-2015	ASF	Underwater mooring	39.624	47.97775	-65.3574817	OTN-Global
CB27-2015	ASF	Underwater mooring	30.48	47.98415	-65.363446	OTN-Global
CB28-2015	ASF	Underwater mooring	18.288	47.9906183	-65.3689867	OTN-Global
ASF-HG1	ASF	Underwater mooring	135.3	47.08113	-64.9476	OTN-Global
ASF-HG2	ASF	Underwater mooring	135.3	47.08387	-64.95208	OTN-Global
ASF-Huckleberry Gully 1	ASF	Underwater mooring	135.3	47.0772	-64.95357	OTN-Global
ASF-Huckleberry Gully 2	ASF	Underwater mooring	135.3	47.07697	-64.95023	OTN-Global
ASF-Eel Ground	ASF	Underwater mooring	135.3	46.96002	-65.62078	OTN-Global
ASF-Portage Gully 1	ASF	Underwater mooring	135.3	47.20455	-65.03517	OTN-Global
ASF-Portage Gully 2	ASF	Underwater mooring	135.3	47.19868	-65.0364	OTN-Global
ASF-PG1	ASF	Underwater mooring	135.3	47.18805	-65.03111	OTN-Global
ASF-PG2	ASF	Underwater mooring	135.3	47.19337	-65.02677	OTN-Global
ASF-PG3	ASF	Underwater mooring	135.3	47.20091	-65.0265	OTN-Global
ASF-PG4	ASF	Underwater mooring	135.3	47.20617	-65.03589	OTN-Global
ASF-PI2	ASF	Underwater mooring	135.3	47.1413	-65.04612	OTN-Global
ASF-PI1	ASF	Underwater mooring	135.3	47.13543	-65.0505	OTN-Global
ASF-PI3	ASF	Underwater mooring	135.3	47.14619	-65.0441	OTN-Global
ASF-PI4	ASF	Underwater mooring	135.3	47.14951	-65.0435	OTN-Global
ASF-PI5	ASF	Underwater mooring	135.3	47.14751	-65.05032	OTN-Global
ASF-PI6	ASF	Underwater mooring	135.3	47.14309	-65.03588	OTN-Global
ASF-Portage Island 1	ASF	Underwater mooring	135.3	47.13518	-65.0434	OTN-Global
ASF-Portage Island 3	ASF	Underwater mooring	135.3	47.14368	-65.0445	OTN-Global
ASF-Portage Island 4	ASF	Underwater mooring	135.3	47.14798	-65.04117	OTN-Global
ASF-Portage Island 5	ASF	Underwater mooring	135.3	47.14547	-65.04252	OTN-Global
ASF-Portage Island 6	ASF	Underwater mooring	135.3	47.13747	-65.0439	OTN-Global
ASF-East end of Beaubear Island-Chatham Side	ASF	Underwater mooring	135.3	46.9866	-65.55657	OTN-Global
ASF-UPMKymenne-NW	ASF	Underwater mooring	135.3	46.96712	-65.59007	OTN-Global
ASF-UPM	ASF	Underwater mooring	135.3	46.96723	-65.58867	OTN-Global
ASF-LOWER BB ISLAND 1	ASF	Underwater mooring	135.3	46.98748	-65.55607	OTN-Global
ASF-LOWER BB ISLAND 2	ASF	Underwater mooring	135.3	46.98775	-65.55885	OTN-Global
DALJ 2-2016	ASF	Underwater mooring	9	48.0516	-66.54	OTN-Global
ASF-DOUGLASTOWN 1	ASF	Underwater mooring	135.3	47.02195	-65.49835	OTN-Global
ASF-DOUGLASTOWN 2	ASF	Underwater mooring	135.3	47.02063	-65.4947	OTN-Global
ASF-SI1	ASF	Underwater mooring	135.3	47.07751	-65.36705	OTN-Global
ASF-SI2	ASF	Underwater mooring	135.3	47.08205	-65.3679	OTN-Global
ASF-Sheldrake Island 1	ASF	Underwater mooring	135.3	47.08742	-65.33128	OTN-Global
ASF-Sheldrake Island 2	ASF	Underwater mooring	135.3	47.08062	-65.33072	OTN-Global
ASF-OUTSIDE OF BAY DU VIN ISLAND	ASF	Underwater mooring	135.3	47.09957	-65.11107	OTN-Global
ASF-INSHORE OF BAY DU VIN ISLAND	ASF	Underwater mooring	135.3	47.08528	-65.10215	OTN-Global
ASF-ESCUMINAC POINT 2	ASF	Underwater mooring	135.3	47.08813	-64.79213	OTN-Global
ASF-Stewart Brook	ASF	Underwater mooring	135.3	46.96175	-65.66132	OTN-Global
ASF-LSW	ASF	Underwater mooring	135.3	46.9529	-65.85803	OTN-Global
ASF-Kymenne	ASF	Underwater mooring	135.3	46.9666	-65.58956	OTN-Global
ASF-2 km Upriver of the Oxbow	ASF	Underwater mooring	135.3	46.95367	-65.8715	OTN-Global
ASF-OXBOW	ASF	Underwater mooring	135.3	46.95917	-65.84967	OTN-Global
ASF-OFF OF TABUSINTAC	ASF	Underwater mooring	135.3	47.29528	-64.92985	OTN-Global
ASF-ESCUMINAC POINT 1	ASF	Underwater mooring	135.3	47.08235	-64.79828	OTN-Global
ASF-Enclosure	ASF	Underwater mooring	135.3	46.9595	-65.5846	OTN-Global
ASF-French Fort cove	ASF	Underwater mooring	135.3	47.0149	-65.54333	OTN-Global
ASF-Chatam	ASF	Underwater mooring	135.3	47.02102	-65.49572	OTN-Global
ASF-Hacket's Beach	ASF	Underwater mooring	135.3	46.95757	-65.67292	OTN-Global
ASF-LSW1	ASF	Underwater mooring	135.3	46.95391	-65.85986	OTN-Global
ASF-Suth BR	ASF	Underwater mooring	135.3	46.94	-65.82	OTN-Global
ASF-Loggieville	ASF	Underwater mooring	135.3	47.07758	-65.39268	OTN-Global
JDF006	JDF	Underwater mooring	127	48.34963	-123.95802	nep
ASF-Deeside-Runnymede	ASF	Underwater mooring	135.3	47.9117	-67.0013	OTN-Global
ASF-Dalhousie 3	ASF	Underwater mooring	135.3	48.06797	-66.33485	OTN-Global
ASF-Dalhousie 1	ASF	Underwater mooring	135.3	48.06228	-66.34445	OTN-Global
ASF-Dalhousie 2 	ASF	Underwater mooring	135.3	48.0665	-66.34362	OTN-Global
ASF-Dalhousie 4	ASF	Underwater mooring	135.3	48.07505	-66.33048	OTN-Global
ASF-Boston Brook	ASF	Underwater mooring	135.3	47.52763	-67.62078	OTN-Global
ASF-Head of Tide 2	ASF	Underwater mooring	135.3	48.00903	-66.70108	OTN-Global
ASF-Head of Tide 3	ASF	Underwater mooring	135.3	48.00564	-66.69999	OTN-Global
ASF-Head of Tide 4	ASF	Underwater mooring	135.3	48.00801	-66.69458	OTN-Global
ASF-Head of Tide 5	ASF	Underwater mooring	135.3	48.00572	-66.69467	OTN-Global
ASF-HOME POOL RUNNYMEDE	ASF	Underwater mooring	135.3	47.91087	-66.957	OTN-Global
ASF-Head of Tide 1	ASF	Underwater mooring	135.3	48.00416	-66.6985	OTN-Global
ASF-HoT 1	ASF	Underwater mooring	135.3	48.0083	-66.69583	OTN-Global
ASF-HoT 2	ASF	Underwater mooring	135.3	48.00512	-66.69603	OTN-Global
ASF-HoT 3	ASF	Underwater mooring	135.3	48.00312	-66.69635	OTN-Global
ASF-Larrys Gulch 1	ASF	Underwater mooring	135.3	47.71206	-67.43644	OTN-Global
ASF-Upsalquitch	ASF	Underwater mooring	135.3	47.84865	-66.91097	OTN-Global
ASF-Million Dollar Pool	ASF	Underwater mooring	135.3	47.84558	-67.37085	OTN-Global
ASF-Ristigouche Salmon Club	ASF	Underwater mooring	135.3	47.97307	-66.93804	OTN-Global
ASF-Florence Pool-Runnymede	ASF	Underwater mooring	135.3	47.90574	-66.94517	OTN-Global
CB3-2015	ASF	Underwater mooring	36.576	47.8299233	-65.2216583	OTN-Global
ASF-Larrys Gulch 2	ASF	Underwater mooring	135.3	47.72761	-67.43528	OTN-Global
ASF-Junction Pool	ASF	Underwater mooring	135.3	47.66751	-67.48298	OTN-Global
ASF-Matapedia	ASF	Underwater mooring	135.3	47.98355	-66.96883	OTN-Global
ASF-Jimmies Hole	ASF	Underwater mooring	135.3	47.66853	-67.48174	OTN-Global
ASF-MATAPEDIA-HAYLEY'S POOL	ASF	Underwater mooring	135.3	47.982	-66.95867	OTN-Global
ASF-RUNNYMEDE	ASF	Underwater mooring	135.3	47.91087	-66.957	OTN-Global
ASF-Rest 1	ASF	Underwater mooring	135.3	48.0083	-66.69583	OTN-Global
ASF-Rest 3	ASF	Underwater mooring	135.3	48.00312	-66.69635	OTN-Global
ASF-Rest 2	ASF	Underwater mooring	135.3	48.00512	-66.69603	OTN-Global
CB4-2015	ASF	Underwater mooring	39.624	47.8362867	-65.22753	OTN-Global
ASF-Old Salmon River (below 30 mile camp by castor lodge)	ASF	Underwater mooring	135.3	50.5285	-64.12278	OTN-Global
ASF-Inner Arc 4-2009	ASF	Underwater mooring	135.3	50.2725	-64.32611	OTN-Global
ASF-Inner Arc 5-2009	ASF	Underwater mooring	135.3	50.27139	-64.31861	OTN-Global
ASF-Outer Arc 6-2009	ASF	Underwater mooring	135.3	50.26944	-64.30861	OTN-Global
ASF-Outer Arc 7-2009	ASF	Underwater mooring	135.3	50.26639	-64.31861	OTN-Global
ASF-Outer Arc 8-2009	ASF	Underwater mooring	135.3	50.26556	-64.33194	OTN-Global
ASF-Outer Arc 9-2009	ASF	Underwater mooring	135.3	50.26806	-64.34167	OTN-Global
ASF-Outer Arc 10-2009	ASF	Underwater mooring	135.3	50.27111	-64.35417	OTN-Global
ASF-Outer Arc 11-2009	ASF	Underwater mooring	135.3	50.27583	-64.36139	OTN-Global
ASF-Outer Arc 12-2009	ASF	Underwater mooring	135.3	50.28278	-64.36222	OTN-Global
ASF-Outer Arc 5-2010	ASF	Underwater mooring	135.3	50.26558	-64.31751	OTN-Global
ASF-Red Rock	ASF	Underwater mooring	135.3	50.33147	-64.25597	OTN-Global
ASF-West Line A	ASF	Underwater mooring	135.3	50.30856	-64.44672	OTN-Global
ASF-West Line B	ASF	Underwater mooring	135.3	50.30028	-64.44194	OTN-Global
ASF-Anticosti Island 3	ASF	Underwater mooring	135.3	49.90093	-64.5633	OTN-Global
ASF-Gulf F	ASF	Underwater mooring	135.3	50.25556	-64.37917	OTN-Global
ASF-Gulf G	ASF	Underwater mooring	135.3	50.25111	-64.36778	OTN-Global
ASF-Gulf H	ASF	Underwater mooring	135.3	50.24806	-64.35639	OTN-Global
ASF-Gulf I	ASF	Underwater mooring	135.3	50.24528	-64.34361	OTN-Global
JDF007	JDF	Underwater mooring	134	48.3443	-123.96613	nep
ASF-Inner Arc 4-2010	ASF	Underwater mooring	135.3	50.27191	-64.32075	OTN-Global
ASF-Inner Arc 3-2010	ASF	Underwater mooring	135.3	50.27136	-64.33285	OTN-Global
ASF-Inner Arc 2-2010	ASF	Underwater mooring	135.3	50.27358	-64.34351	OTN-Global
ASF-Inner Arc 1-2010	ASF	Underwater mooring	135.3	50.27986	-64.35062	OTN-Global
ASF-Outer Arc 10-2010	ASF	Underwater mooring	135.3	50.28416	-64.36146	OTN-Global
ASF-Outer Arc 9-2010	ASF	Underwater mooring	135.3	50.2768	-64.36098	OTN-Global
