transmitter_id,transmitter_codespace,detection_transmittername
56466,A69-1303,A69-1303-56466
56467,A69-1303,A69-1303-56467
56468,A69-1303,A69-1303-56468
56469,A69-1303,A69-1303-56469
56470,A69-1303,A69-1303-56470
56471,A69-1303,A69-1303-56471
56472,A69-1303,A69-1303-56472
56473,A69-1303,A69-1303-56473
56474,A69-1303,A69-1303-56474
56475,A69-1303,A69-1303-56475
56476,A69-1303,A69-1303-56476
56477,A69-1303,A69-1303-56477
56479,A69-1303,A69-1303-56479
56480,A69-1303,A69-1303-56480
56482,A69-1303,A69-1303-56482
56483,A69-1303,A69-1303-56483
56486,A69-1303,A69-1303-56486
56484,A69-1303,A69-1303-56484
56488,A69-1303,A69-1303-56488
56489,A69-1303,A69-1303-56489
56487,A69-1303,A69-1303-56487
56490,A69-1303,A69-1303-56490
56491,A69-1303,A69-1303-56491
56492,A69-1303,A69-1303-56492
56494,A69-1303,A69-1303-56494
56495,A69-1303,A69-1303-56495
56496,A69-1303,A69-1303-56496
56497,A69-1303,A69-1303-56497
56498,A69-1303,A69-1303-56498
56499,A69-1303,A69-1303-56499
56500,A69-1303,A69-1303-56500
56361,A69-1303,A69-1303-56361
32332,A69-1303,A69-1303-32332
32225,A69-1303,A69-1303-32225
30608,A69-1303,A69-1303-30608
32587,A69-1303,A69-1303-32587
32546,A69-1303,A69-1303-32546
30786,A69-1303,A69-1303-30786
30810,A69-1303,A69-1303-30810
30819,A69-1303,A69-1303-30819
30881,A69-1303,A69-1303-30881
30907,A69-1303,A69-1303-30907
30908,A69-1303,A69-1303-30908
30940,A69-1303,A69-1303-30940
30970,A69-1303,A69-1303-30970
30983,A69-1303,A69-1303-30983
31007,A69-1303,A69-1303-31007
31009,A69-1303,A69-1303-31009
31037,A69-1303,A69-1303-31037
32197,A69-1303,A69-1303-32197
32200,A69-1303,A69-1303-32200
32331,A69-1303,A69-1303-32331
32559,A69-1303,A69-1303-32559
32566,A69-1303,A69-1303-32566
1552,A69-1204,A69-1204-1552
1570,A69-1204,A69-1204-1570
1605,A69-1204,A69-1204-1605
3797,A69-1204,A69-1204-3797
3876,A69-1204,A69-1204-3876
3881,A69-1204,A69-1204-3881
3883,A69-1204,A69-1204-3883
18039,A69-1303,A69-1303-18039
18040,A69-1303,A69-1303-18040
18055,A69-1303,A69-1303-18055
18064,A69-1303,A69-1303-18064
18075,A69-1303,A69-1303-18075
18090,A69-1303,A69-1303-18090
18091,A69-1303,A69-1303-18091
18092,A69-1303,A69-1303-18092
18095,A69-1303,A69-1303-18095
18099,A69-1303,A69-1303-18099
18102,A69-1303,A69-1303-18102
18105,A69-1303,A69-1303-18105
18107,A69-1303,A69-1303-18107
18139,A69-1303,A69-1303-18139
18141,A69-1303,A69-1303-18141
18150,A69-1303,A69-1303-18150
3800,A69-1204,A69-1204-3800
19452,A69-1303,A69-1303-19452
3862,A69-1204,A69-1204-3862
